1 | Greetings Adventurer are you prepared to challenge the mighty Cave of Destruction? Beware there lies perilous feats ahead. Let's start with choosing your class. Option 1 For Melee Option two for Ranged.  | 2 | 3
21 | The wooden chest contained a mythical weapon Lightbringer a enchanted holy great sword you take it and continue into the next room there were three other openings leading into the room three adventurers enter a ranger mage and a assassin before you have a chance to converse with each other a cyclops gets summoned into the room you proceed to work together with the adventurers to take him out. Option one to cast heal for your allies option two to cast holy light on the cyclops| 28 | 29
22 | The golden chest was a trap the chest itself was a monster a mouth emerges from the chest and eats you whole :( | -1 | -1
23 | The wooden chest contained a mythical weapon dragon teeth daggers a pair of dragon fang daggers that emit flames you take it and continue into the next room there were three other openings leading into the room three adventurers enter a ranger mage and a paladin before you have a chance to converse with each other a cyclops gets summoned into the room you proceed to work together with the adventurers to take him out. Option one to cast dagger throw two to cast stealth and retreat | 29 | 30
24 | The golden chest was a trap the chest itself was a monster a mouth emerges from the chest and eats you whole :( | -1 | -1
25 |  The wooden chest contained a mythical weapon inside a meteor staff that controls gravity you take it and continue into the next room there were three other openings leading into the room three adventurers enter a ranger assassin and a paladin before you have a chance to converse with each other a cyclops gets summoned into the room you proceed to work together with the adventurers to take him out. Option one to cast summon meteor shower option two to cast a barrier for your allies | 31 | 29
26 | The golden chest was a trap the chest itself was a monster a mouth emerges from the chest and eats you whole :( | -1 | -1
27 | The wooden chest contained a mythical weapon inside a longbow crafted from the world tree you take it and continue into the next room there were three other openings leading into the room three adventurers enter a mage assassin and a paladin before you have a chance to converse with each other a cyclops gets summoned into the room you proceed to work together with the adventurers to take him out. Option one to cast nature arrow option two to cast arrow storm | 29 | 32
28 | You attempt to heal your party but the fight just started the party is already at full health the cyclops swats you into the wall you die on impact | -1 | -1
29 | The paladin casts holy light blinding the cyclops. The cyclops starts stomping around in an enraged state attempting to wipe out the party blind. The mage puts up a barrier keeping the cyclops from stomping the party. The assassin throws his flame dragon daggers slicing the cyclops's leg tendons dropping it to its knees and the ranger lets off a nature arrows straight threw the eye of the cyclops. The cyclops is defeated the party cheers for the their victory splitting up the dropped loot between themselves and leaving the cave of destruction. The end.| -1 | -1
30 | You cast stealth and attempt to retreat from the dungeon you exit out of the stealth after leaving the boss arena to conserve mana the demon from the first room is still guarding the bridge he sees you before you see him he hurls a demon bolt at you die instantly | -1 | -1
31 | You cast meteor shower but not being able to control your new-found power you accidently wipe out your party the cyclops has a easy time taking out the lone mage  | -1 | -1
32 | You cast Arrow storm but not being able to control your new-found power you accidently wipe out your party the cyclops has a easy time taking out the lone ranger | -1 | -1



